Input, OSD0, OSD1, OSD2
657,69,6,60
658,61,114,49
659,82,52,16
660,77,107,47
661,96,31,111
662,93,97,52
663,59,86,74
664,25,9,21
665,82,88,102
666,102,105,86
667,112,39,49
668,29,16,83
669,97,56,89
670,92,32,106
671,41,51,61
672,11,2,98
673,126,116,5
674,125,116,64
675,0,69,62
676,62,108,118
677,84,79,111
678,41,70,111
679,49,92,26
680,121,81,101
681,24,23,12
682,27,1,11
683,35,110,97
684,22,30,96
685,77,119,58
686,125,31,102
687,106,83,126
688,40,125,3
689,66,123,48
690,17,66,88
691,88,99,13
692,30,124,52
693,42,84,79
694,19,45,77
695,71,101,106
696,6,42,57
697,54,116,24
698,30,4,94
699,67,101,49
700,121,13,31
701,63,14,7
702,38,9,55
703,62,45,51
704,113,68,79
705,30,124,0
706,39,5,49
707,115,24,77
708,14,19,97
709,73,52,0
710,17,10,122
711,74,119,70
712,2,40,118
713,102,87,22
714,97,126,115
715,109,99,90
716,113,93,72
717,52,72,38
718,105,119,74
719,3,122,113
720,92,101,79
721,11,17,7
722,71,61,19
723,67,95,111
724,88,118,61
725,29,73,10
726,42,64,12
727,75,115,107
728,100,114,42
729,117,79,126
730,34,69,100
731,71,61,49
732,96,8,6
733,106,44,76
734,104,116,98
735,65,34,125
736,9,104,77
737,3,97,118
738,43,74,86
739,0,49,85
740,29,34,42
741,125,98,0
742,17,7,102
743,105,4,25
744,27,37,14
745,50,35,59
746,86,54,79
747,92,7,84
748,113,37,0
749,13,34,121
750,50,120,112
751,45,118,75
752,30,121,73
753,77,52,41
754,16,27,11
755,6,111,62
756,113,84,31
757,47,34,5
758,83,65,26
759,59,30,85
760,83,15,46
761,78,69,51
762,2,33,72
763,86,97,64
764,106,98,30
765,115,105,121
766,118,59,24
767,28,127,34
768,37,122,54
769,20,42,59
770,61,48,41
771,21,86,15
772,22,9,85
773,62,31,32
774,67,61,114
775,23,118,12
776,28,56,38
777,112,1,61
778,55,37,4
779,102,91,73
780,124,39,10
781,67,114,127
782,84,10,4
783,18,30,75
784,71,55,78
785,119,50,121
786,66,121,105
787,116,111,54
788,96,0,107
789,5,10,88
790,109,91,28
791,105,20,123
792,39,41,63
793,23,117,26
794,107,21,12
795,30,67,107
796,12,103,54
797,82,115,36
798,37,51,90
799,10,32,57
800,28,0,121
801,125,94,81
802,69,107,77
803,111,12,23
804,20,81,120
805,50,46,22
806,24,13,21
807,60,92,70
808,114,96,69
809,59,47,26
810,48,18,97
811,31,50,105
812,41,81,13
813,18,41,51
814,121,107,82
815,72,6,16
816,99,72,53
817,40,25,13
818,60,69,7
819,103,1,10
820,15,72,36
821,58,93,35
822,2,95,49
823,14,29,103
824,9,107,69
825,6,97,18
826,89,0,11
827,3,55,115
828,113,24,41
829,53,69,104
830,71,13,1
831,87,65,79
832,28,105,14
833,5,29,95
834,14,25,71
835,115,9,25
836,44,24,35
837,28,54,23
838,68,16,32
839,44,108,50
840,45,58,10
841,122,20,94
842,39,49,111
843,62,83,22
844,36,75,7
845,49,36,63
846,126,33,57
847,110,66,103
848,54,41,59
849,8,102,106
850,66,39,97
851,65,123,117
852,17,11,101
853,49,21,87
854,106,83,46
855,61,77,121
856,37,78,24
857,116,35,99
858,17,62,97
859,49,127,26
860,42,79,37
861,64,80,32
862,22,108,35
863,64,83,24
864,45,48,101
865,119,109,97
866,89,121,48
867,53,104,28
868,59,93,5
869,111,22,11
870,24,115,21
871,25,64,10
872,39,105,10
873,66,80,10
874,66,111,90
875,2,46,29
876,73,119,110
877,67,14,79
878,25,6,48
879,51,39,112
880,80,121,91
881,123,31,111
882,116,126,105
883,116,74,105
884,78,93,127
885,119,24,35
886,89,41,65
887,21,12,56
888,43,22,31
889,88,2,20
890,117,97,104
891,1,59,30
892,18,2,62
893,6,14,93
894,126,107,96
895,82,125,107
896,97,34,114
897,60,80,67
898,100,46,31
899,89,42,57
900,13,101,90
901,122,0,15
902,18,85,25
903,66,118,121
904,124,94,119
905,99,40,9
906,121,101,35
907,70,106,100
908,96,57,27
909,3,8,23
910,88,102,6
911,123,70,44
912,26,99,89
913,47,55,97
914,117,13,16
915,49,47,88
916,118,7,82
917,71,91,117
918,37,87,92
919,16,85,106
920,18,50,79
921,40,111,123
922,89,58,100
923,48,11,76
924,36,61,105
925,31,112,94
926,63,113,69
927,105,23,33
928,53,73,111
929,77,88,67
930,78,111,115
931,57,49,28
932,78,11,98
933,124,99,63
934,15,49,21
935,28,112,40
936,123,20,86
937,76,106,100
938,105,56,43
939,26,22,5
940,22,114,71
941,14,49,37
942,62,94,49
943,107,2,125
944,13,34,127
945,47,126,92
946,92,103,125
947,93,45,63
948,113,77,39
949,20,7,81
950,73,80,18
951,91,42,54
952,38,67,30
953,84,8,28
954,13,5,50
955,124,26,0
956,118,32,27
957,61,88,44
958,56,21,15
959,91,44,123
960,39,25,102
961,110,47,0
962,113,41,90
963,74,71,117
964,28,120,21
965,26,82,113
966,112,91,39
967,98,105,61
968,25,103,104
969,44,0,96
970,89,118,48
971,1,95,69
972,5,123,76
973,34,6,50
974,70,73,90
975,31,17,102
976,81,100,114
977,125,69,24
978,51,37,126
979,110,118,88
980,92,86,26
981,125,75,117
982,61,95,125
983,75,39,71
984,117,65,1
985,125,92,9
986,82,33,117
987,78,39,63
988,84,123,38
989,28,120,104
990,4,18,9
991,125,105,65
992,123,111,15
993,36,49,43
994,100,51,118
995,16,82,48
996,29,80,8
997,99,57,36
998,75,55,62
999,7,21,85
1000,65,72,87
1001,120,57,30
1002,1,46,105
1003,125,30,114
1004,84,35,116
1005,60,1,42
1006,69,54,7
1007,48,86,43
1008,31,20,74
1009,112,95,111
1010,105,11,59
1011,64,80,126
1012,14,28,21
1013,62,78,116
1014,42,16,25
1015,75,127,30
1016,5,51,72
1017,21,69,75
1018,51,127,91
1019,43,103,126
1020,65,62,50
1021,85,99,105
1022,4,18,116
1023,59,64,35
1024,97,119,48
1025,114,50,32
1026,6,25,91
1027,58,26,32
1028,50,19,31
1029,13,31,7
1030,56,37,13
1031,45,12,67
1032,63,109,49
1033,84,95,72
1034,46,104,17
1035,113,92,29
1036,111,82,2
1037,60,48,20
1038,48,61,90
1039,80,76,68
1040,70,29,88
1041,105,90,26
1042,59,39,15
1043,62,40,48
1044,0,92,55
1045,21,62,8
1046,83,103,105
1047,50,58,22
1048,9,0,110
1049,68,60,83
1050,121,1,79
1051,11,56,70
1052,14,38,56
1053,11,32,40
1054,122,74,39
1055,57,55,44
1056,89,66,36
1057,42,8,55
1058,79,71,122
1059,61,42,15
1060,27,43,91
1061,53,8,104
1062,64,59,81
1063,69,101,15
1064,59,37,64
1065,52,11,36
1066,50,3,127
1067,113,10,125
1068,94,36,24
1069,79,19,42
1070,30,119,73
1071,50,20,68
1072,121,33,47
1073,78,90,16
1074,121,39,69
1075,79,49,20
